rep,year,observational,main.H,secondary.H,number.H.test,target.taxa,other.taxa,total number of species in study,n,device,scale,country,lat,long,risk.status,duration in days
16,2011,1,behavior,,1,bird,0,1,19,gps,global,Portugal,31.60638,-0.146848,least concern,365
29,2003,1,behavior,migration,3,bird,0,1,10,gps,global,West Africa,14.28704,1.713058,least concern,1080
51,2009,1,habitat use,,1,bird,0,1,3,gps,global,Syria,24.253967,38.914995,critically endangered,365
63,2015,1,behavior,habitat use,1,bird,0,1,19,gps,global,"Egypt, Sudan",9.208155,25.696854,endangered,1440
1,2016,1,behavior,thermoregulation,2,small mammal,0,1,10,vhf,local,Qatar,25.82811,51.201671,least concern,4
3,2012,1,habitat use,species interactions,2,large mammal,1,3,5,gps,local,Mexico,25.833709,-103.848732,least concern,62
4,2007,1,methodological,,,bird,0,1,9,vhf,local,Mauritania,21.008036,-10.944415,least concern,9
5,2007,1,demographics,,1,large mammal,0,1,77,vhf,local,USA,36.579971,-104.472293,least concern,1080
6,2014,1,behavior,,1,invertebrate,0,1,20,vhf,local,USA,33.30618,-111.841208,least concern,21
7,2010,1,habitat use,,1,large mammal,0,1,13,vhf,local,USA,33.1264,-114.726345,least concern,
8,2009,1,habitat use,,1,large mammal,0,1,25,vhf,local,USA,35.112116,-115.263292,least concern,2880
9,2013,1,behavior,thermoregulation,2,small mammal,0,1,8,vhf,local,Australia,-28.362073,139.945807,vulnerable,55
10,2014,1,physiology,behavior,2,small mammal,0,2,3,vhf,local,Australia,-28.362073,139.945807,vulnerable,3
12,1999,1,physiology,behavior,2,large mammal,0,1,3,vhf,local,Namibia,-23.521535,16.494061,least concern,42
13,2003,1,physiology,behavior,2,bird,0,1,41,vhf,local,South Africa,-29.590787,30.269752,least concern,540
14,2014,1,habitat use,,1,reptile,0,1,12,vhf,local,Australia,-26.843468,150.781957,endangered,365
15,2003,1,habitat use,,1,small mammal,0,2,4,vhf,local,Australia,-24.97146,125.593885,least concern,7
17,1995,1,habitat use,behavior,2,large mammal,0,1,7,vhf,local,USA,32.612831,-106.731264,least concern,365
18,2010,1,physiology,,1,small mammal,0,1,31,vhf,local,South Africa,-27.829334,28.501826,least concern,12
20,2000,1,demographics,behavior,2,small mammal,0,1,341,vhf,local,USA,35.34796,-119.520039,endangered,42
21,2010,1,physiology,behavior,2,small mammal,0,1,23,vhf,local,Israel,30.852297,34.7834,least concern,720
22,2015,1,distribution,behavior,2,small mammal,0,1,45,vhf,local,USA,40.211933,-112.839502,least concern,1080
23,2010,1,habitat use,home range,2,bird,0,1,29,vhf,local,Australia,-23.697222,133.883292,least concern,5
24,1999,1,physiology,behavior,2,small mammal,0,2,54,vhf,local,Israel,31.725779,35.191123,least concern,30
25,2012,1,behavior,,1,reptile,0,1,15,vhf,local,USA,33.830296,-116.545291,threatened,5
26,2010,1,behavior,human impact,2,large mammal,1,2,37,gps,local,USA,32.286373,-113.24504,least concern,720
27,1994,1,behavior,,1,large mammal,0,1,9,vhf,local,USA,33.284077,-112.429723,least concern,365
28,2000,1,behavior,,1,bird,1,4,20,vhf,local,USA,31.659813,-110.525356,least concern,49
30,2006,1,methodological,reintroduction,2,large mammal,1,2,34,vhf,local,Australia,-26.702449,114.115034,endangered,28
31,2010,1,habitat use,methodology,2,reptile,0,1,41,vhf,local,USA,35.262845,-116.684616,vulnerable,720
